study_id,title,description,minAge,maxAge,minGPA,cooldownDays,active,created_at,updated_at
d6cb1317-dae2-486b-ba88-0a6d8c6170c1,Affect & Emotion: Quantify decision speed under time pressure,This usability testing study uses a mobile app diary with graduate students. It aims to assess the impact of sleep duration on recall. Approx. 30 minutes. Compensation: $15 gift card. Participation is voluntary; you may withdraw at any time.,21,55,2.3,14,True,2025-11-18T13:16:34,2026-03-12T09:18:46
18e2c651-9e38-422e-b258-7eb6faf92bde,Nutrition & Performance: Test usability of a new mobile interface,This sleep & memory study uses a eye-tracking study with general adults. It aims to analyze eye movements during reading. Approx. 45 minutes. Compensation: course credit. Participation is voluntary; you may withdraw at any time.,18,65,3.0,7,True,2026-07-21T05:59:20,2026-09-26T22:33:18
88056938-c607-45d3-a7e6-611cea80cb6a,Decision Making – Test usability of a new mobile interface,This exercise science study uses a eye-tracking study with habitual nappers. It aims to measure short-term memory accuracy. Approx. 60 minutes. Compensation: $15 gift card. Participation is voluntary; you may withdraw at any time.,18,60,2.0,30,True,2026-11-07T12:54:31,2026-12-17T14:58:46
72bafa3a-177a-4608-ad1c-0d47897587a1,Sleep & Memory: Quantify decision speed under time pressure,This attention & perception study uses a A/B usability test with graduate students. It aims to assess the impact of sleep duration on recall. Approx. 60 minutes. Compensation: $25 gift card. Participation is voluntary; you may withdraw at any time.,18,45,2.3,30,True,2026-05-24T17:33:40,2026-07-30T00:59:52
f0ad0fec-7cf8-4b72-8990-0afa0d0b03e8,Neuroscience – Study effects of nutrition on reaction time,This exercise science study uses a VR interaction task with early risers. It aims to quantify decision speed under time pressure. Approx. 20 minutes. Compensation: $20 gift card. Participation is voluntary; you may withdraw at any time.,21,45,2.0,7,True,2026-01-01T21:10:09,2026-03-31T23:40:25
992cc395-ad49-4a3c-befc-d0691c33f79c,Attention & Perception via Mobile App Diary,This affect & emotion study uses a reaction-time task with habitual nappers. It aims to test usability of a new mobile interface. Approx. 20 minutes. Compensation: $25 gift card. Participation is voluntary; you may withdraw at any time.,18,45,3.2,7,True,2025-12-13T03:17:42,2026-05-03T08:57:16
f17f4f68-51e2-4af9-ac0e-223d5c35dcf6,Language Processing via Vr Interaction Task,This neuroscience study uses a eye-tracking study with STEM majors. It aims to study effects of nutrition on reaction time. Approx. 60 minutes. Compensation: snacks + course credit. Participation is voluntary; you may withdraw at any time.,21,60,3.0,0,True,2026-08-16T00:01:28,2026-10-25T01:37:46
a94a02b2-c1c2-4446-af6c-a9e83fdc776e,Evaluate UI learnability (Cognitive Psychology),This social behavior study uses a behavioral game with heavy social media users. It aims to compare different feedback strategies on learning. Approx. 60 minutes. Compensation: snacks + course credit. Participation is voluntary; you may withdraw at any time.,18,45,2.0,7,True,2026-07-04T18:41:05,2026-12-01T14:48:05
1d778d35-f662-4ad7-9625-a391c3e9a645,Exercise Science: Evaluate UI learnability,This decision making study uses a mobile app diary with undergraduates. It aims to assess the impact of sleep duration on recall. Approx. 75 minutes. Compensation: $20 gift card. Participation is voluntary; you may withdraw at any time.,18,45,2.3,30,False,2026-08-02T15:25:24,2027-01-07T21:03:01
53f7b00b-6a66-4d2c-b2ca-4a9e0a221428,Attention & Perception – Evaluate UI learnability,This cognitive psychology study uses a EEG session with competitive athletes. It aims to assess the impact of sleep duration on recall. Approx. 35 minutes. Compensation: course credit. Participation is voluntary; you may withdraw at any time.,18,45,2.3,0,False,2026-03-12T18:27:54,2026-05-03T11:13:26
c82c6d3f-62d2-4f64-98f2-32879d2d6850,Mental Health via Vr Interaction Task,This cognitive psychology study uses a eye-tracking study with night owls. It aims to study effects of nutrition on reaction time. Approx. 90 minutes. Compensation: $20 gift card. Participation is voluntary; you may withdraw at any time.,18,60,2.3,30,True,2026-11-11T11:47:08,2027-02-03T12:47:25
e17ebd82-b061-4f57-9cf0-85e96fa33a3a,Evaluate UI learnability (Nutrition & Performance),This human-computer interaction study uses a lab-based task with first-year students. It aims to model social conformity behavior. Approx. 75 minutes. Compensation: course credit. Participation is voluntary; you may withdraw at any time.,18,65,2.5,30,True,2026-12-12T20:22:48,2027-01-30T05:39:14
dcca5962-4348-4d4d-82da-8fa8dafb29dd,Human-Computer Interaction via A/B Usability Test,This mental health study uses a A/B usability test with graduate students. It aims to model social conformity behavior. Approx. 60 minutes. Compensation: snacks + course credit. Participation is voluntary; you may withdraw at any time.,18,45,2.7,14,True,2027-02-20T23:47:05,2027-06-05T11:39:38
169bbd38-bcbc-46b6-9a71-13ec0a3542d3,Usability Testing via Vr Interaction Task,This learning & education study uses a A/B usability test with STEM majors. It aims to evaluate UI learnability. Approx. 60 minutes. Compensation: course credit. Participation is voluntary; you may withdraw at any time.,18,65,2.5,0,True,2026-03-03T06:05:21,2026-06-22T03:12:20
ac1d1c5d-22a9-42da-81fc-e6096f54c5cf,Neuroscience – Analyze eye movements during reading,This learning & education study uses a reaction-time task with early risers. It aims to evaluate UI learnability. Approx. 75 minutes. Compensation: snacks + course credit. Participation is voluntary; you may withdraw at any time.,18,60,2.5,30,True,2026-03-22T10:16:04,2026-09-10T21:34:11
00e8bcd2-7c67-43b7-9a42-db2b8e182d12,Attention & Perception: Evaluate UI learnability,This human-computer interaction study uses a eye-tracking study with early risers. It aims to quantify decision speed under time pressure. Approx. 45 minutes. Compensation: $25 gift card. Participation is voluntary; you may withdraw at any time.,21,55,2.7,21,True,2026-03-29T12:11:58,2026-05-06T12:05:08
b8a680d9-06b4-4656-8a35-218312ebbf32,Cognitive Psychology via Lab-Based Task,This social behavior study uses a reaction-time task with early risers. It aims to test usability of a new mobile interface. Approx. 30 minutes. Compensation: $10 gift card. Participation is voluntary; you may withdraw at any time.,18,65,2.0,21,True,2026-11-29T03:07:21,2027-04-30T14:40:29
eb2769ee-e502-4a1e-aa9b-51d694ab1c3c,Affect & Emotion – Test usability of a new mobile interface,This affect & emotion study uses a EEG session with early risers. It aims to study effects of nutrition on reaction time. Approx. 90 minutes. Compensation: course credit. Participation is voluntary; you may withdraw at any time.,18,60,2.7,30,True,2026-03-25T19:51:58,2026-06-04T11:52:52
a5ed3ef9-dcb6-43df-8387-a10e33829def,Assess the impact of sleep duration on recall (Sleep & Memory),This neuroscience study uses a mobile app diary with heavy social media users. It aims to evaluate UI learnability. Approx. 30 minutes. Compensation: $10 gift card. Participation is voluntary; you may withdraw at any time.,18,65,2.7,7,True,2026-08-03T14:12:10,2026-10-27T09:57:31
75421f74-6ed8-4252-b9f4-2c172f6670fa,Affect & Emotion via A/B Usability Test,This human factors study uses a A/B usability test with first-year students. It aims to measure short-term memory accuracy. Approx. 90 minutes. Compensation: snacks + course credit. Participation is voluntary; you may withdraw at any time.,21,65,2.0,14,True,2026-07-20T21:52:40,2026-11-05T17:28:25
0f076e2d-d7bd-433c-b882-6dac955820a8,Assess the impact of sleep duration on recall (Attention & Perception),This human factors study uses a behavioral game with undergraduates. It aims to model social conformity behavior. Approx. 75 minutes. Compensation: course credit. Participation is voluntary; you may withdraw at any time.,21,55,3.0,7,False,2026-11-09T20:47:10,2026-11-16T11:07:55
8bc298af-6599-4c6a-bf87-e9b064cd273b,Cognitive Psychology via Lab-Based Task,This affect & emotion study uses a EEG session with undergraduates. It aims to compare different feedback strategies on learning. Approx. 35 minutes. Compensation: $20 gift card. Participation is voluntary; you may withdraw at any time.,18,65,2.3,21,True,2026-08-14T10:32:16,2026-10-17T13:31:11
341832d6-cebe-4326-b3b3-0ce1c90f0baf,Motivation & Goals: Test usability of a new mobile interface,This mental health study uses a eye-tracking study with STEM majors. It aims to measure short-term memory accuracy. Approx. 90 minutes. Compensation: $10 gift card. Participation is voluntary; you may withdraw at any time.,18,55,2.0,0,True,2026-03-25T06:48:00,2026-04-27T00:02:30
23808929-c0cd-42e6-81d1-75c76f5efb52,Nutrition & Performance – Assess the impact of sleep duration on recall,This language processing study uses a mobile app diary with general adults. It aims to understand bilingual lexical access. Approx. 75 minutes. Compensation: $25 gift card. Participation is voluntary; you may withdraw at any time.,18,55,3.2,0,True,2026-05-21T07:18:16,2026-10-15T20:58:08
e9f4e649-ffa3-4230-af4d-8f3cd7e5289f,Usability Testing via Eye-Tracking Study,This nutrition & performance study uses a VR interaction task with STEM majors. It aims to quantify decision speed under time pressure. Approx. 90 minutes. Compensation: $25 gift card. Participation is voluntary; you may withdraw at any time.,18,60,2.5,14,True,2027-02-05T23:04:52,2027-05-03T23:32:30
2ee8da16-8cf8-401b-96c4-c76797c3731a,Human Factors – Quantify decision speed under time pressure,This mental health study uses a behavioral game with general adults. It aims to evaluate UI learnability. Approx. 75 minutes. Compensation: course credit. Participation is voluntary; you may withdraw at any time.,18,65,2.5,30,True,2026-03-30T16:21:41,2026-04-22T02:31:00
6b39e2fd-eca4-4a84-b3c2-456c7e5e1990,Affect & Emotion – Analyze eye movements during reading,This neuroscience study uses a online survey with early risers. It aims to evaluate UI learnability. Approx. 45 minutes. Compensation: $20 gift card. Participation is voluntary; you may withdraw at any time.,18,60,3.0,14,True,2026-12-28T01:08:05,2027-06-25T11:11:36
d74ada4d-0a45-47ec-a3be-90ed6f8668a3,Cognitive Psychology: Assess the impact of sleep duration on recall,This attention & perception study uses a A/B usability test with early risers. It aims to assess the impact of sleep duration on recall. Approx. 75 minutes. Compensation: $25 gift card. Participation is voluntary; you may withdraw at any time.,21,65,2.3,0,True,2026-03-12T02:51:22,2026-06-23T11:42:52
26a2b124-9453-4a97-aa02-eda0e513f24e,Decision Making – Model social conformity behavior,This mental health study uses a A/B usability test with heavy social media users. It aims to model social conformity behavior. Approx. 75 minutes. Compensation: $20 gift card. Participation is voluntary; you may withdraw at any time.,21,60,2.3,7,True,2026-02-17T14:01:53,2026-05-08T18:23:03
15b1b485-cae3-44a9-bce9-4fde0bc4e41f,Social Behavior – Assess the impact of sleep duration on recall,This language processing study uses a interview session with heavy social media users. It aims to study effects of nutrition on reaction time. Approx. 20 minutes. Compensation: $25 gift card. Participation is voluntary; you may withdraw at any time.,18,60,2.0,7,True,2026-11-09T20:59:59,2026-12-12T06:59:13
26db4c24-ee7d-4ef9-8e63-d8aae8df3b62,Test usability of a new mobile interface (Human-Computer Interaction),This exercise science study uses a behavioral game with graduate students. It aims to understand bilingual lexical access. Approx. 35 minutes. Compensation: $10 gift card. Participation is voluntary; you may withdraw at any time.,21,65,2.3,7,False,2026-04-05T02:32:17,2026-08-05T06:41:30
26df7b54-db42-4841-94bd-dbb0fa697dfb,Sleep & Memory: Analyze eye movements during reading,This human-computer interaction study uses a EEG session with general adults. It aims to study effects of nutrition on reaction time. Approx. 20 minutes. Compensation: $25 gift card. Participation is voluntary; you may withdraw at any time.,18,45,2.5,21,True,2027-01-14T08:09:13,2027-03-13T03:10:47
3a5b9651-bbd1-4612-b429-b43eb55bd348,Analyze eye movements during reading (Usability Testing),This human factors study uses a VR interaction task with first-year students. It aims to measure short-term memory accuracy. Approx. 60 minutes. Compensation: $25 gift card. Participation is voluntary; you may withdraw at any time.,18,55,2.5,14,True,2026-01-20T23:45:23,2026-03-23T06:05:05
cf82f2b4-95bb-4751-b0ca-a0678eb18bcd,Sleep & Memory – Measure short-term memory accuracy,This affect & emotion study uses a interview session with early risers. It aims to measure short-term memory accuracy. Approx. 30 minutes. Compensation: $20 gift card. Participation is voluntary; you may withdraw at any time.,18,60,2.7,21,True,2026-03-21T07:20:06,2026-05-28T06:05:33
f2471b00-40e3-401e-b77f-580c4e3f383b,Learning & Education via A/B Usability Test,This exercise science study uses a VR interaction task with general adults. It aims to measure short-term memory accuracy. Approx. 30 minutes. Compensation: $10 gift card. Participation is voluntary; you may withdraw at any time.,18,60,2.3,21,True,2026-07-30T15:18:09,2026-10-08T09:31:26
ea3581c0-643e-4076-a9d9-ca71f87a6a5d,Motivation & Goals: Quantify decision speed under time pressure,This human factors study uses a mobile app diary with first-year students. It aims to measure short-term memory accuracy. Approx. 20 minutes. Compensation: $20 gift card. Participation is voluntary; you may withdraw at any time.,18,45,3.5,14,True,2026-02-04T01:47:30,2026-06-04T20:41:11
21ef6768-1c95-43fb-bc5d-a8eaa25ab1ef,Affect & Emotion – Evaluate UI learnability,This motivation & goals study uses a lab-based task with early risers. It aims to compare different feedback strategies on learning. Approx. 35 minutes. Compensation: $20 gift card. Participation is voluntary; you may withdraw at any time.,18,45,3.0,14,True,2026-10-10T20:12:43,2026-12-23T10:47:31
3b161246-378e-4f58-8c3b-d3285a567227,Quantify decision speed under time pressure (Human-Computer Interaction),This language processing study uses a mobile app diary with graduate students. It aims to test usability of a new mobile interface. Approx. 90 minutes. Compensation: course credit. Participation is voluntary; you may withdraw at any time.,18,65,2.3,7,True,2027-01-17T14:44:11,2027-05-25T13:30:24
4a0b453d-858a-40bb-a24b-ce0a254f58ff,Assess the impact of sleep duration on recall (Affect & Emotion),This exercise science study uses a VR interaction task with early risers. It aims to analyze eye movements during reading. Approx. 20 minutes. Compensation: snacks + course credit. Participation is voluntary; you may withdraw at any time.,18,55,2.7,14,True,2026-11-23T22:42:44,2027-03-08T02:06:21
f11df9cc-e583-4caf-8b38-5dac6df97ea4,Attention & Perception: Analyze eye movements during reading,This exercise science study uses a behavioral game with habitual nappers. It aims to study effects of nutrition on reaction time. Approx. 45 minutes. Compensation: $25 gift card. Participation is voluntary; you may withdraw at any time.,21,65,2.0,30,True,2026-02-16T01:14:05,2026-07-19T19:44:21
22b70a6c-5a39-4fd5-89b0-1941a6419d37,Exercise Science – Study effects of nutrition on reaction time,This neuroscience study uses a reaction-time task with habitual nappers. It aims to study effects of nutrition on reaction time. Approx. 75 minutes. Compensation: $10 gift card. Participation is voluntary; you may withdraw at any time.,18,65,3.0,21,True,2026-06-16T01:34:35,2026-09-09T21:40:15
f5e0b81b-996d-43c0-beb9-3a07390217e0,Usability Testing via Behavioral Game,This attention & perception study uses a interview session with night owls. It aims to compare different feedback strategies on learning. Approx. 20 minutes. Compensation: $15 gift card. Participation is voluntary; you may withdraw at any time.,18,65,2.7,21,True,2027-02-18T12:03:23,2027-08-03T17:35:39
04729c2a-7d04-4577-ae8f-03e344f49324,Evaluate UI learnability (Motivation & Goals),This nutrition & performance study uses a behavioral game with graduate students. It aims to analyze eye movements during reading. Approx. 20 minutes. Compensation: $25 gift card. Participation is voluntary; you may withdraw at any time.,18,65,3.0,7,True,2026-04-14T20:22:57,2026-07-10T19:04:28
4bf7cc17-aea9-450e-b9eb-a68dfb756ac2,Usability Testing – Model social conformity behavior,This neuroscience study uses a behavioral game with heavy social media users. It aims to understand bilingual lexical access. Approx. 20 minutes. Compensation: $10 gift card. Participation is voluntary; you may withdraw at any time.,18,60,3.5,0,True,2025-12-06T11:06:46,2026-05-17T14:46:19
39db5e03-d5c7-459b-a95d-fc9b451dfc13,Affect & Emotion: Study effects of nutrition on reaction time,This human-computer interaction study uses a mobile app diary with undergraduates. It aims to model social conformity behavior. Approx. 35 minutes. Compensation: $20 gift card. Participation is voluntary; you may withdraw at any time.,21,55,2.0,21,True,2026-02-07T20:30:13,2026-03-23T02:52:39
b0e6f6c3-f009-4937-80e8-6641ef98babc,Sleep & Memory via Interview Session,This motivation & goals study uses a interview session with general adults. It aims to analyze eye movements during reading. Approx. 75 minutes. Compensation: $15 gift card. Participation is voluntary; you may withdraw at any time.,18,65,2.0,0,False,2026-09-17T08:56:57,2026-11-30T04:51:00
1e691906-7b67-4075-aad2-6841abd4056a,Analyze eye movements during reading (Social Behavior),This decision making study uses a A/B usability test with habitual nappers. It aims to study effects of nutrition on reaction time. Approx. 30 minutes. Compensation: course credit. Participation is voluntary; you may withdraw at any time.,21,65,2.0,21,True,2026-12-11T11:16:15,2027-02-24T22:01:11
1450158e-0ebd-4140-9113-ec8939170f36,Cognitive Psychology: Study effects of nutrition on reaction time,This human-computer interaction study uses a interview session with early risers. It aims to assess the impact of sleep duration on recall. Approx. 60 minutes. Compensation: $20 gift card. Participation is voluntary; you may withdraw at any time.,18,55,2.5,30,True,2027-02-15T00:02:04,2027-08-08T05:00:51
60635d12-eb2b-4a45-89a1-f0f56b65a0f0,Nutrition & Performance – Study effects of nutrition on reaction time,This human-computer interaction study uses a interview session with competitive athletes. It aims to evaluate UI learnability. Approx. 20 minutes. Compensation: snacks + course credit. Participation is voluntary; you may withdraw at any time.,18,60,2.7,7,True,2026-11-13T23:17:21,2027-02-15T18:37:00
1305a888-e616-48c6-bab7-f72e8eef7e8d,Language Processing – Study effects of nutrition on reaction time,This decision making study uses a mobile app diary with graduate students. It aims to quantify decision speed under time pressure. Approx. 30 minutes. Compensation: course credit. Participation is voluntary; you may withdraw at any time.,18,65,3.2,30,True,2026-07-24T11:24:10,2026-07-27T21:01:53
20566d54-d639-4a20-b6ae-5fcb746850e1,Model social conformity behavior (Nutrition & Performance),This usability testing study uses a mobile app diary with graduate students. It aims to assess the impact of sleep duration on recall. Approx. 45 minutes. Compensation: snacks + course credit. Participation is voluntary; you may withdraw at any time.,18,60,3.0,7,True,2027-01-27T12:47:15,2027-05-25T23:47:23
f31542af-47ee-418f-bbb9-d29b8ddf8b09,Human Factors: Evaluate UI learnability,This human-computer interaction study uses a VR interaction task with early risers. It aims to quantify decision speed under time pressure. Approx. 30 minutes. Compensation: $10 gift card. Participation is voluntary; you may withdraw at any time.,18,65,2.5,30,True,2026-01-19T00:30:56,2026-05-06T00:21:37
af00e3c2-cd49-4f87-a61c-69a34cb37490,Nutrition & Performance – Understand bilingual lexical access,This language processing study uses a online survey with competitive athletes. It aims to analyze eye movements during reading. Approx. 45 minutes. Compensation: $15 gift card. Participation is voluntary; you may withdraw at any time.,18,60,2.0,14,True,2027-02-03T20:26:34,2027-05-05T22:38:50
bdff233b-d0fb-4694-a0d0-8c015d76d820,Usability Testing: Assess the impact of sleep duration on recall,This affect & emotion study uses a lab-based task with STEM majors. It aims to understand bilingual lexical access. Approx. 20 minutes. Compensation: $15 gift card. Participation is voluntary; you may withdraw at any time.,18,60,2.0,7,False,2026-02-27T09:18:33,2026-03-17T05:29:14
f07baa95-fc99-4952-9599-92affab3a785,Learning & Education via Interview Session,This neuroscience study uses a EEG session with first-year students. It aims to study effects of nutrition on reaction time. Approx. 90 minutes. Compensation: $10 gift card. Participation is voluntary; you may withdraw at any time.,18,55,2.5,7,True,2025-10-11T00:34:36,2025-11-13T01:07:03
b4ce3826-7a37-43f7-ba81-4014382eeda7,Understand bilingual lexical access (Mental Health),This cognitive psychology study uses a EEG session with habitual nappers. It aims to evaluate UI learnability. Approx. 75 minutes. Compensation: $10 gift card. Participation is voluntary; you may withdraw at any time.,21,45,2.7,21,True,2026-06-29T04:53:44,2026-11-08T02:30:36
cabf98e2-e32d-49d1-b87e-93f97f47e232,Nutrition & Performance via Behavioral Game,This human-computer interaction study uses a reaction-time task with habitual nappers. It aims to measure short-term memory accuracy. Approx. 20 minutes. Compensation: course credit. Participation is voluntary; you may withdraw at any time.,21,65,2.3,0,True,2026-08-31T12:36:04,2026-09-18T15:32:33
11199072-22f4-4c0b-92e4-1b2af0b7e0f4,Neuroscience: Evaluate UI learnability,This exercise science study uses a VR interaction task with first-year students. It aims to understand bilingual lexical access. Approx. 60 minutes. Compensation: snacks + course credit. Participation is voluntary; you may withdraw at any time.,18,65,3.5,30,True,2026-10-18T16:09:18,2027-03-22T07:49:05
1412f8b4-8ff0-4de5-9711-498b59bec2da,Nutrition & Performance via Lab-Based Task,This human factors study uses a behavioral game with bilingual speakers. It aims to model social conformity behavior. Approx. 90 minutes. Compensation: course credit. Participation is voluntary; you may withdraw at any time.,21,65,2.3,0,True,2026-05-21T17:51:41,2026-11-08T03:08:29
be0a84ca-3a70-44db-8ba5-4f8085aa179f,Mental Health: Analyze eye movements during reading,This sleep & memory study uses a lab-based task with graduate students. It aims to quantify decision speed under time pressure. Approx. 75 minutes. Compensation: course credit. Participation is voluntary; you may withdraw at any time.,18,55,2.5,30,False,2026-12-01T06:32:13,2027-02-23T10:59:14
69506bb1-f79a-4daf-9eb8-88a28c940846,Human Factors: Compare different feedback strategies on learning,This decision making study uses a interview session with habitual nappers. It aims to quantify decision speed under time pressure. Approx. 60 minutes. Compensation: $20 gift card. Participation is voluntary; you may withdraw at any time.,18,55,2.7,7,False,2026-06-19T22:35:52,2026-11-09T11:58:48
3613fdd4-872f-4893-a7e1-5d2649156839,Nutrition & Performance via Vr Interaction Task,This human factors study uses a reaction-time task with first-year students. It aims to test usability of a new mobile interface. Approx. 20 minutes. Compensation: $25 gift card. Participation is voluntary; you may withdraw at any time.,18,45,2.0,14,False,2026-06-20T15:33:03,2026-06-21T22:09:20
eea891a9-1399-43e7-a6fa-18522d836907,Exercise Science: Compare different feedback strategies on learning,This exercise science study uses a online survey with graduate students. It aims to test usability of a new mobile interface. Approx. 30 minutes. Compensation: snacks + course credit. Participation is voluntary; you may withdraw at any time.,21,65,2.5,7,True,2026-05-30T22:56:07,2026-10-23T20:38:35
c254e73f-e451-4475-8d01-d2d91417f6e3,Sleep & Memory via Online Survey,This human-computer interaction study uses a lab-based task with habitual nappers. It aims to compare different feedback strategies on learning. Approx. 45 minutes. Compensation: course credit. Participation is voluntary; you may withdraw at any time.,21,65,2.0,30,True,2026-08-20T22:10:15,2026-09-18T08:29:00
805f8c72-8a38-4e63-895f-2d4920359344,Motivation & Goals: Study effects of nutrition on reaction time,This attention & perception study uses a A/B usability test with first-year students. It aims to measure short-term memory accuracy. Approx. 30 minutes. Compensation: $10 gift card. Participation is voluntary; you may withdraw at any time.,18,55,2.7,14,True,2025-12-23T04:40:13,2025-12-24T22:46:46
4821a0f5-84c7-489f-bf7d-4207acb4ee73,Human Factors – Evaluate UI learnability,This attention & perception study uses a reaction-time task with heavy social media users. It aims to model social conformity behavior. Approx. 20 minutes. Compensation: snacks + course credit. Participation is voluntary; you may withdraw at any time.,21,45,2.3,21,False,2026-05-22T03:52:23,2026-10-16T19:30:10
d43e3949-78d0-4db0-9900-7aef46740ea1,Usability Testing: Study effects of nutrition on reaction time,This usability testing study uses a online survey with competitive athletes. It aims to understand bilingual lexical access. Approx. 45 minutes. Compensation: $15 gift card. Participation is voluntary; you may withdraw at any time.,18,45,2.3,0,True,2026-12-22T09:21:23,2027-04-04T04:25:59
1ccef6b3-9385-469f-9507-a6ba235e5ef0,Study effects of nutrition on reaction time (Sleep & Memory),This attention & perception study uses a mobile app diary with general adults. It aims to test usability of a new mobile interface. Approx. 75 minutes. Compensation: $10 gift card. Participation is voluntary; you may withdraw at any time.,18,55,3.0,14,True,2027-02-04T07:55:44,2027-03-13T16:31:52
02e76150-7766-4b28-a05d-33f9ae06d67a,Nutrition & Performance via Eeg Session,This social behavior study uses a interview session with general adults. It aims to quantify decision speed under time pressure. Approx. 30 minutes. Compensation: snacks + course credit. Participation is voluntary; you may withdraw at any time.,21,65,2.7,30,True,2026-12-03T10:53:22,2027-05-17T10:01:11
979eab36-ab83-4247-87a3-5b98c0b22a62,Neuroscience – Evaluate UI learnability,This sleep & memory study uses a behavioral game with early risers. It aims to study effects of nutrition on reaction time. Approx. 90 minutes. Compensation: snacks + course credit. Participation is voluntary; you may withdraw at any time.,18,45,2.3,0,True,2026-09-07T00:17:06,2026-09-16T02:21:22
476ea281-c23a-4ae1-a602-abeeef322e28,Mental Health: Quantify decision speed under time pressure,This usability testing study uses a behavioral game with first-year students. It aims to measure short-term memory accuracy. Approx. 45 minutes. Compensation: $25 gift card. Participation is voluntary; you may withdraw at any time.,18,60,2.5,30,True,2025-11-08T01:24:33,2026-03-03T05:10:39
fc92bc16-3b61-4589-98ca-df53613e32d9,Neuroscience via Lab-Based Task,This human-computer interaction study uses a eye-tracking study with early risers. It aims to test usability of a new mobile interface. Approx. 60 minutes. Compensation: course credit. Participation is voluntary; you may withdraw at any time.,18,60,2.3,14,True,2026-06-10T19:37:14,2026-12-01T17:23:20
